location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Lyons,LINN,US,pm25,4.7,2018-10-02 17:00:00+00:00,µg/m³,AirNow,44.778744,-122.61705,1.0,
Mill City,LINN,US,pm25,7.0,2018-10-02 16:00:00+00:00,µg/m³,AirNow,44.75209,-122.479675,1.0,
Fernley,LYON,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,39.602737,-119.247856,1.0,
YPT Campbell Ranch,LYON,US,pm10,64.0,2016-04-21 14:00:00+00:00,µg/m³,AirNow,39.063034,-119.2044,1.0,
Lima,Lima,US,so2,0.0,2019-04-01 02:00:00+00:00,ppm,AirNow,40.771,-84.0539,1.0,
Lima,Lima,US,pm25,4.5,2019-04-01 02:00:00+00:00,µg/m³,AirNow,40.771,-84.0539,1.0,
Lima,Lima,US,o3,0.041,2019-04-01 02:00:00+00:00,ppm,AirNow,40.771,-84.0539,1.0,
KAHULUI,MAUI,US,pm25,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,20.869444,-156.49242,1.0,
Paia,MAUI,US,pm25,3.0,2017-04-10 22:00:00+00:00,µg/m³,AirNow,20.90203,-156.37035,1.0,
Lee Vining,MONO,US,pm25,1.7,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.96207,-119.12028,1.0,
Lee Vining,MONO,US,pm10,8.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.96207,-119.12028,1.0,
Mono Shore,MONO,US,pm10,2.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.0697,-118.9477,1.0,
Mammoth Lakes,MONO,US,pm10,22.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0,
Mammoth Lakes,MONO,US,pm25,3.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0,
Napa - Jefferson St,Napa,US,no2,0.003,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,Napa,US,o3,0.024,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,Napa,US,co,0.29,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,Napa,US,pm25,7.0,2018-05-14 18:00:00+00:00,µg/m³,AirNow,38.3108,-122.295,1.0,
Napa - Napa Valley C,Napa,US,co,0.31,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,Napa,US,no2,0.004,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,Napa,US,o3,0.029,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,Napa,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.27885,-122.275024,1.0,
Fairplay,PARK,US,o3,0.04,2018-02-27 16:00:00+00:00,ppm,AirNow,39.2403,-105.9831,1.0,
Fairplay,PARK,US,no2,0.002,2018-02-27 16:00:00+00:00,ppm,AirNow,39.2403,-105.9831,1.0,
Fairplay,PARK,US,pm10,5.0,2018-02-27 16:00:00+00:00,µg/m³,AirNow,39.2403,-105.9831,1.0,
Fairplay,PARK,US,pm25,9.8,2018-02-27 16:00:00+00:00,µg/m³,AirNow,39.2403,-105.9831,1.0,
Cody Mobile,PARK,US,o3,0.045,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,PARK,US,so2,0.0,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,PARK,US,pm25,1.0,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,PARK,US,no2,0.001,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,PARK,US,pm10,18.0,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.52612,-109.01673,1.0,
PIKE2001,PIKE,US,pm25,4.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.4828,-82.5353,1.0,
PIKE2001,PIKE,US,o3,0.048,2019-04-01 19:00:00+00:00,ppm,AirNow,37.4828,-82.5353,1.0,
Pike/CASTNET,PIKE,US,o3,0.026,2016-06-14 12:00:00+00:00,ppm,AirNow,33.18117,-84.41006,1.0,
Ajo,PIMA,US,pm10,8.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.382034,-112.85745,1.0,
Rillito,PIMA,US,pm10,42.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.41434,-111.15454,1.0,
Orange Grove,PIMA,US,pm10,11.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.322575,-111.03771,1.0,
Orange Grove,PIMA,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.322575,-111.03771,1.0,
South Tucson,PIMA,US,pm10,19.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.20215,-110.96792,1.0,
EAGLEMT,POLK,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,34.4544,-94.1433,1.0,
SHELDAHL,POLK,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,41.849434,-93.69762,1.0,
Alabama-Coushatta,POLK,US,o3,0.037,2019-04-01 19:00:00+00:00,ppm,AirNow,30.6681,-94.6739,1.0,
Beloit-Converse,ROCK,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,42.51831,-89.06347,1.0,
